Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,Shots on Target,Shots on Target%,Goals per Shot,Goals per Shot on Target,Avg Shot Distance,FK Shots,Penalties,Penalites Attempted,xG,npxG,npxG per Shot,G-xG,npG-xG,Passes Completed,Passes Attempted,Passes Completed%,Total Pass Dist,Prog Pass Dist,Short Pass Cmp,Short Pass Att,Shor tPass Cmp %,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,Assists,xAG,xA,A-xAG,Key Passes,Final 1/3 Cmp,Passes into Penalty Area,Crosses into Penalty Area,Prog Passes,Live Pass,Dead Pass,FK Passes,Thru Balls,Switches,Crosses,Throw In,Corners,In Swing CK,Out Swing CK,Straight CK,Passes Offside,Passes Blocked,SCA,SCA Pass Live,SCA Pass Dead,SCA Dribble,SCA Sh,SCA Fouls Drawn,SCA Def,GCA,GCA Pass Live,GCA Pass Dead,GCA Dribble,GCA Shot,GCA Fouls Drawn,GCA Def,Tackle,Tackles Won,Def 3rd Tkl,Mid 3rd Tkl,Att 3rd Tkl,Drb Tkl,Drb Past Att,Drb Tkl%,Drb Past,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Touches,Def Pen Touch,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Att Pen Touch,Live Touch,Att Drb,Succ Drb,Drb Succ%,Times Tackled,Times Tackled%,Carries,Total Carry Distance,Prog Carry Distance,Prog Carries,Carries To Fina lThird,Carries To Pen Area,Carry Mistakes,Disposesed,Received Pass,Prog Passes Rec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
Maduka Okoye,ng NGA,GK,Udinese,it Serie A,23,1999,21,21,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,451,61,9258,7764,68,68,100,90,90,100,116,285,40.7,0,0,0,0,0,10,0,0,0,244,203,42,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,491,448,489,2,0,0,491,0,0,0,0,0,203,1318,754,0,0,0,1,0,134,0,2,0,0,1,4,0,0,1,0,17,6,1,85.7
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,28,18,1613,11,0.39,7,36,22,61.1,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,1.6,1.6,645,833,77.4,9118,2859,380,444,85.6,196,246,79.7,32,69,46.4,4,3.5,3.4,0.5,38,64,38,3,93,773,54,12,8,2,54,3,37,14,8,0,6,24,88,59,11,6,3,4,5,9,7,0,0,0,0,2,37,23,12,20,5,12,36,33.3,24,21,0,21,9,46,3,0,1055,10,101,457,513,79,1055,52,27,51.9,22,42.3,815,4602,1866,46,45,14,41,40,756,135,5,0,0,33,31,1,0,0,0,110,4,19,17.4
Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,18,2005,11,4,358,0,0,0,6,0,0,0,0,15.3,0,0,0,0.7,0.7,0.12,-0.7,-0.7,125,147,85,1886,329,62,69,89.9,46,49,93.9,10,16,62.5,0,0.1,0.2,-0.1,3,8,2,0,20,144,2,2,0,0,2,0,0,0,0,0,1,4,9,6,0,0,1,2,0,1,0,0,0,1,0,0,9,6,4,5,0,3,11,27.3,8,4,1,3,4,13,4,0,194,9,32,104,60,12,194,6,4,66.7,1,16.7,153,980,522,13,13,2,7,7,139,14,2,0,0,10,7,0,0,0,0,18,3,4,42.9
Mahamadou Nagida,cm CMR,DF,Rennes,fr Ligue 1,18,2005,3,1,106,0,0,0,3,2,66.7,0,0,18.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,47,65,72.3,815,214,24,28,85.7,17,24,70.8,5,8,62.5,0,0.3,0.3,-0.3,3,2,3,3,2,59,6,0,0,1,12,6,0,0,0,0,0,3,8,4,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,2,1,1,4,5,0,0,82,0,15,30,39,6,82,5,3,60,1,20,62,413,251,5,6,2,2,1,53,11,0,0,0,0,2,0,0,0,0,8,2,5,28.6
Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,25,1998,32,26,2020,10,0.31,7,41,13,31.7,0.15,0.46,16.6,0,1,1,4.9,4.1,0.1,2.1,1.9,693,852,81.3,10625,2324,346,414,83.6,270,317,85.2,38,59,64.4,3,3.1,2.4,-0.1,32,63,18,10,81,801,51,3,0,2,45,5,0,0,0,0,0,21,73,50,0,2,7,10,4,7,4,0,0,1,2,0,55,39,8,40,7,20,49,40.8,29,24,1,23,27,82,19,0,1116,23,141,614,372,72,1115,43,17,39.5,21,48.8,774,4230,1756,37,39,7,39,23,722,129,7,0,0,37,38,3,1,0,0,77,32,30,51.6
Mahmoud Dahoud,de GER,MF,Brighton,eng Premier League,27,1996,9,6,452,1,0,0,6,1,16.7,0,0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,284,328,86.6,4011,886,169,176,96,84,99,84.8,16,25,64,1,0.9,0.4,0.1,10,21,1,1,11,326,2,2,1,0,3,0,0,0,0,0,0,8,13,13,0,0,0,0,0,2,2,0,0,0,0,0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0,368,12,86,225,58,4,368,5,2,40,3,60,239,951,406,4,3,1,6,5,303,6,1,1,0,6,2,0,0,0,0,26,0,5,0
Mahmoud Dahoud,de GER,MF,Stuttgart,de Bundesliga,27,1996,13,1,227,1,0.4,1,3,1,33.3,0.33,1,19.8,0,0,0,0.6,0.6,0.19,0.4,0.4,205,235,87.2,3140,829,117,126,92.9,63,71,88.7,16,24,66.7,0,0.5,0.9,-0.5,7,19,3,1,19,229,5,3,1,2,6,0,2,1,1,0,1,3,11,10,1,0,0,0,0,1,1,0,0,0,0,0,5,1,1,4,0,3,7,42.9,4,4,0,4,0,5,1,0,261,5,48,157,57,6,261,2,0,0,2,100,144,548,241,1,5,0,6,3,207,5,0,0,0,0,2,0,0,0,0,23,2,5,28.6
Mahmut Kücüksahin,0,MF,Augsburg,de Bundesliga,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100,59,17,3,3,100,1,1,100,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,de Bundesliga,39,1984,8,2,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,189,87.8,3210,1037,52,56,92.9,100,109,91.7,14,23,60.9,0,0,0.2,0,0,7,2,0,10,183,6,6,1,0,1,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,4,2,2,2,0,3,6,50,3,2,1,1,2,6,5,0,209,11,73,125,12,0,209,0,0,0,0,0,141,726,432,0,1,0,1,1,159,3,1,0,0,4,3,0,0,1,0,13,4,3,57.1
Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,18,2005,17,4,559,3,0.48,3,9,7,77.8,0.33,0.43,14.2,0,0,0,1.8,1.8,0.2,1.2,1.2,143,180,79.4,2092,314,75,87,86.2,54,66,81.8,6,13,46.2,0,0.5,0.5,-0.5,6,4,6,1,10,175,5,0,0,0,20,5,0,0,0,0,0,8,19,11,0,2,3,2,1,3,1,0,0,1,1,0,5,4,3,1,1,4,9,44.4,5,3,0,3,5,10,9,0,244,7,37,84,133,21,244,15,8,53.3,7,46.7,210,1566,836,26,18,10,16,11,197,60,0,0,0,3,11,0,1,0,0,18,0,7,0
Malick Mbaye,sn SEN,"MF,FW",Metz,fr Ligue 1,19,2004,5,1,153,0,0,0,4,0,0,0,0,18.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4,34,54,63,683,120,14,23,60.9,12,21,57.1,6,7,85.7,0,0.2,0.2,-0.2,2,1,1,1,1,49,5,1,0,0,13,0,3,0,3,0,0,5,3,0,2,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,4,1,2,50,1,1,0,1,1,6,2,0,78,2,5,40,37,4,78,1,1,100,0,0,57,432,159,8,5,2,5,2,55,20,1,0,0,5,4,0,0,0,0,7,1,7,12.5
Malick Thiaw,de GER,DF,Milan,it Serie A,21,2001,21,19,1619,1,0,0,5,1,20,0,0,12.7,0,0,0,0.6,0.6,0.12,-0.6,-0.6,1084,1184,91.6,20626,6291,366,389,94.1,628,664,94.6,85,115,73.9,1,0.1,0.2,0.9,4,62,2,0,70,1153,30,15,0,2,0,4,0,0,0,0,1,7,19,16,0,0,3,0,0,2,2,0,0,0,0,0,34,17,15,17,2,12,25,48,13,23,13,10,13,47,55,0,1347,107,608,698,45,11,1347,11,8,72.7,2,18.2,900,4823,2501,15,6,0,7,5,983,1,5,1,0,31,7,0,0,1,1,76,37,21,63.8
Malo Gusto,fr FRA,DF,Chelsea,eng Premier League,20,2003,27,19,1751,6,0,0,15,5,33.3,0,0,18.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,1230,1423,86.4,17534,5080,761,829,91.8,394,454,86.8,48,73,65.8,6,4.3,3.3,1.7,32,49,29,13,86,1244,176,38,2,0,64,138,0,0,0,0,3,29,52,47,2,1,0,0,2,7,7,0,0,0,0,0,55,27,34,15,6,35,52,67.3,17,28,4,24,17,72,43,1,1641,71,470,698,499,49,1641,42,17,40.5,20,47.6,972,5376,2791,78,41,16,32,12,1103,135,7,1,0,22,30,6,0,1,0,126,8,19,29.6
Mama Samba Baldé,gw GNB,"FW,MF",Lyon,fr Ligue 1,27,1995,20,4,551,5,0.33,2,17,9,52.9,0.12,0.22,14.2,0,0,0,3.4,3.4,0.2,-1.4,-1.4,88,135,65.2,1223,294,51,66,77.3,26,43,60.5,4,7,57.1,3,2.3,1.2,0.7,13,4,4,0,11,132,3,0,2,1,5,0,0,0,0,0,0,7,21,13,0,5,2,1,0,7,3,0,4,0,0,0,8,5,1,2,5,3,9,33.3,6,0,0,0,3,11,1,1,234,2,21,87,133,43,234,28,12,42.9,16,57.1,176,1287,586,23,9,15,28,11,174,73,1,0,0,8,9,4,0,0,0,26,10,17,37
Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,19,2004,5,1,118,0,0,0,2,0,0,0,0,20.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,56,70,80,800,158,32,42,76.2,21,24,87.5,2,2,100,0,0.1,0.1,-0.1,1,6,1,0,5,69,1,0,0,0,1,1,0,0,0,0,0,1,5,4,0,0,1,0,0,0,0,0,0,0,0,0,7,4,2,3,2,3,8,37.5,5,4,0,4,0,7,0,0,99,2,9,56,35,1,99,3,1,33.3,2,66.7,70,409,178,2,8,0,10,3,72,7,0,0,0,3,2,0,0,0,0,3,2,0,100
Mamadou Coulibaly,sn SEN,DF,Salernitana,it Serie A,24,1999,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33.3,6,1,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,17,2005,11,1,209,0,0,0,1,1,100,0,0,20.3,0,0,0,0,0,0.01,0,0,38,48,79.2,646,131,13,16,81.3,19,25,76,3,4,75,0,0.2,0.4,-0.2,1,1,0,0,1,46,2,0,1,1,4,2,0,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,5,3,2,1,2,3,9,33.3,6,1,0,1,1,6,1,0,87,4,17,33,40,5,87,20,6,30,10,50,63,620,278,11,2,5,7,2,57,16,0,0,0,4,11,0,0,0,0,15,2,4,33.3
Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,25,1998,4,2,288,0,0,0,2,1,50,0,0,7.9,0,0,0,0.3,0.3,0.17,-0.3,-0.3,47,84,56,996,518,15,21,71.4,20,29,69,10,28,35.7,0,0,0,0,0,3,0,0,4,80,3,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,0,2,5,40,3,10,7,3,5,11,26,0,137,37,81,47,9,4,137,0,0,0,0,0,35,170,83,0,0,0,2,0,43,0,2,0,0,6,0,0,0,1,0,10,9,5,64.3
Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,33,1990,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,93.8,192,105,8,8,100,6,6,100,0,0,0,0,0,0,0,0,0,0,0,1,15,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,0,1,1,0,18,1,11,7,0,0,18,0,0,0,0,0,15,50,36,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,1,50
Mamadou Sarr,fr FRA,DF,Lyon,fr Ligue 1,17,2005,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,100,57,7,2,2,100,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,5,0,0,0,0,0,4,13,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou Sylla,sn SEN,"FW,MF",Alavés,es La Liga,29,1994,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,42.9,64,6,1,4,25,1,1,100,1,1,100,0,0,0,0,0,2,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,13,1,3,6,4,0,13,1,0,0,1,100,6,25,10,0,0,0,1,1,8,1,0,0,0,1,2,0,0,0,0,1,3,3,50
Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22,2001,8,0,101,1,0,0,3,0,0,0,0,16.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,59,74,79.7,791,234,27,32,84.4,21,26,80.8,2,4,50,1,0.7,0.6,0.3,6,2,5,2,9,74,0,0,0,0,4,0,0,0,0,0,0,3,7,6,0,1,0,0,0,1,1,0,0,0,0,0,4,2,2,2,0,3,4,75,1,0,0,0,4,8,3,0,97,2,14,33,50,13,97,5,1,20,4,80,76,542,312,10,5,2,4,4,69,12,2,0,0,3,0,1,0,0,0,12,1,3,25
Manor Solomon,il ISR,FW,Tottenham,eng Premier League,24,1999,5,2,199,2,0,0,7,1,14.3,0,0,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,78,90,86.7,1105,196,45,48,93.8,28,35,80,3,4,75,2,0.8,0.8,1.2,12,3,7,1,11,90,0,0,1,0,5,0,0,0,0,0,0,1,19,16,0,1,1,1,0,2,2,0,0,0,0,0,3,3,1,1,1,1,2,50,1,4,0,4,3,6,2,0,125,1,14,29,83,20,125,17,10,58.8,7,41.2,92,695,404,17,8,9,5,2,92,44,1,0,0,2,1,1,0,0,0,11,0,1,0
Manu Koné,fr FRA,MF,Gladbach,de Bundesliga,22,2001,22,18,1561,1,0.06,1,24,8,33.3,0.04,0.13,19.3,0,0,0,1.2,1.2,0.05,-0.2,-0.2,583,688,84.7,8747,2218,330,368,89.7,199,225,88.4,31,44,70.5,0,1.2,0.8,-1.2,24,45,12,0,70,676,10,9,0,2,3,0,0,0,0,0,2,15,59,42,0,7,6,4,0,3,0,0,0,2,1,0,45,26,20,20,5,17,25,68,8,22,1,21,15,60,16,1,925,23,181,525,238,31,925,69,37,53.6,26,37.7,579,3369,1764,42,33,6,41,41,643,56,4,1,0,28,35,3,1,1,0,111,21,24,46.7
Manu Morlanes,es ESP,MF,Mallorca,es La Liga,24,1999,35,16,1615,2,0,0,11,4,36.4,0,0,16.3,0,0,0,1,1,0.1,-1,-1,669,809,82.7,10611,2959,352,395,89.1,236,269,87.7,54,85,63.5,2,2,2,0,16,74,14,3,104,786,15,7,6,8,17,3,1,0,1,0,8,10,48,39,1,4,0,3,1,4,3,1,0,0,0,0,50,29,23,26,1,23,53,43.4,30,13,1,12,20,70,21,0,965,29,177,589,212,22,965,29,21,72.4,7,24.1,524,2993,1437,29,31,4,17,17,618,31,2,0,0,15,24,0,0,0,0,125,17,13,56.7
Manu Sánchez,es ESP,"DF,MF",Celta Vigo,es La Liga,22,2000,26,20,1775,5,0,0,9,1,11.1,0,0,18.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,656,866,75.8,10322,4222,357,411,86.9,244,307,79.5,39,84,46.4,5,2.7,3,2.3,20,51,25,14,74,678,186,13,0,1,57,169,4,3,1,0,2,38,41,35,0,4,2,0,0,6,6,0,0,0,0,0,54,28,21,25,8,31,55,56.4,24,23,3,20,19,73,65,0,1104,63,332,473,310,23,1104,28,11,39.3,16,57.1,508,2954,1490,41,25,5,32,11,527,67,3,0,0,21,5,0,0,0,0,95,9,21,30
Manu Trigueros,es ESP,MF,Villarreal,es La Liga,31,1991,14,2,309,0,0,0,6,3,50,0,0,20.5,0,0,0,0.5,0.5,0.08,-0.5,-0.5,141,168,83.9,2245,550,68,76,89.5,56,62,90.3,11,15,73.3,0,0.2,0.2,-0.2,5,16,4,0,20,156,10,3,1,0,5,1,5,0,2,0,2,3,8,6,2,0,0,0,0,1,1,0,0,0,0,0,7,5,6,1,0,4,10,40,6,1,1,0,3,10,9,0,201,13,50,91,60,5,201,1,0,0,1,100,107,589,179,7,4,2,5,4,146,13,0,0,0,5,3,1,0,0,0,15,4,1,80
Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,30,28,2511,2,0.07,2,15,5,33.3,0.13,0.4,17,0,0,0,1.9,1.9,0.13,0.1,0.1,2180,2334,93.4,35688,9787,1091,1136,96,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148,2261,71,34,4,15,9,27,0,0,0,0,2,10,55,45,1,0,3,2,4,4,4,0,0,0,0,0,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3,2544,163,779,1385,392,27,2544,4,2,50,2,50,1639,8282,4923,46,51,3,14,9,1983,36,4,1,1,17,19,0,0,0,0,142,27,27,50
Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,32,1991,27,23,2047,1,0.04,1,12,1,8.3,0.08,1,11.3,0,0,0,1.1,1.1,0.09,-0.1,-0.1,942,1095,86,17496,5437,309,348,88.8,546,589,92.7,76,135,56.3,0,0.1,0.5,-0.1,3,59,6,1,74,1031,62,39,0,6,3,4,0,0,0,0,2,6,13,11,1,0,1,0,0,0,0,0,0,0,0,0,37,23,23,13,1,17,23,73.9,6,24,14,10,25,62,82,0,1304,170,634,626,50,17,1304,4,2,50,2,50,616,2909,1606,10,13,0,13,2,818,3,5,1,1,17,15,1,0,0,0,78,49,33,59.8
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29,1993,24,19,1671,2,0,0,8,2,25,0,0,22.1,0,0,0,1,1,0.13,-1,-1,826,975,84.7,12173,3791,456,490,93.1,316,370,85.4,30,60,50,2,1.3,1.3,0.7,9,57,12,8,62,819,156,11,0,2,56,145,0,0,0,0,0,28,32,27,0,0,2,3,0,5,5,0,0,0,0,0,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1,1138,30,325,541,283,18,1138,24,11,45.8,10,41.7,609,4072,2553,73,53,6,19,5,727,104,4,1,0,16,20,1,0,0,0,72,5,16,23.8
Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25,1998,36,34,3008,5,0.03,1,24,3,12.5,0.04,0.33,22.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,1703,1988,85.7,34595,11134,578,638,90.6,848,926,91.6,259,363,71.3,4,1.4,2.4,2.6,26,229,30,5,232,1871,108,98,5,34,10,10,0,0,0,0,9,15,80,73,2,1,2,1,1,7,7,0,0,0,0,0,69,43,24,35,10,31,58,53.4,27,43,17,26,25,94,65,0,2285,101,542,1418,341,22,2285,19,13,68.4,5,26.3,1262,5525,2702,21,37,2,19,17,1604,26,6,0,0,41,24,2,0,0,0,171,26,15,63.4
Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,37,1986,23,23,2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,876,86.1,18448,11570,140,141,99.3,411,418,98.3,203,317,64,0,0,0,0,0,14,0,0,8,754,122,24,0,3,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,14,3,920,701,893,26,1,1,920,1,1,100,0,0,572,3020,1842,0,0,0,1,0,579,0,1,0,0,1,2,0,0,1,0,31,6,3,66.7
Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34,1988,33,33,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,1715,60.1,36529,30871,129,133,97,332,343,96.8,566,1226,46.2,0,0.2,0.4,-0.2,4,92,7,2,19,1313,393,184,0,8,4,0,0,0,0,0,9,0,29,21,8,0,0,0,0,3,2,1,0,0,0,0,2,1,2,0,0,2,4,50,2,0,0,0,1,3,25,1,1820,1045,1649,172,5,0,1820,1,1,100,0,0,1108,6090,4104,0,1,0,2,0,919,0,5,0,0,2,4,0,0,2,0,81,14,3,82.4
Manuel Sebastián,es ESP,MF,Sevilla,es La Liga,19,2004,4,1,117,0,0,0,1,0,0,0,0,31.7,0,0,0,0,0,0.03,0,0,45,49,91.8,831,175,16,18,88.9,21,22,95.5,6,7,85.7,0,0.1,0,-0.1,2,1,1,0,3,49,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,3,3,100,0,3,0,3,0,4,1,0,68,2,26,30,13,0,68,2,1,50,1,50,40,180,85,1,2,0,7,1,53,1,1,0,0,1,2,0,0,0,0,6,0,1,0
Manuel Ugarte Ribeiro,uy URU,MF,Paris S-G,fr Ligue 1,22,2001,25,21,1932,2,0,0,10,1,10,0,0,23.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6,1214,1331,91.2,22281,4148,463,512,90.4,627,659,95.1,104,122,85.2,2,0.9,1,1.1,14,99,6,0,87,1314,17,15,3,5,4,2,0,0,0,0,0,13,38,31,0,3,0,3,1,5,3,0,1,0,1,0,98,57,39,43,16,43,89,48.3,46,27,6,21,40,138,25,2,1597,89,327,987,307,12,1597,40,21,52.5,15,37.5,1230,5575,2111,16,35,4,25,24,1099,24,5,0,0,46,27,0,1,0,0,181,14,12,53.8
Marash Kumbulla,al ALB,DF,Sassuolo,it Serie A,23,2000,7,3,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,106,78.3,1761,785,20,22,90.9,52,59,88.1,8,20,40,0,0,0,0,0,5,2,0,3,98,8,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,1,2,50,1,8,6,2,0,3,22,0,144,38,95,49,0,0,144,0,0,0,0,0,63,348,224,2,0,0,0,0,74,0,1,0,0,3,1,0,0,1,1,6,4,4,50
Marc Bartra,es ESP,DF,Betis,es La Liga,32,1991,3,3,225,0,0,0,3,0,0,0,0,11.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,101,118,85.6,1910,620,39,42,92.9,48,52,92.3,13,21,61.9,0,0,0,0,0,5,0,0,5,107,9,9,0,1,0,0,0,0,0,0,2,0,3,2,0,0,1,0,0,1,0,0,0,1,0,0,4,3,3,1,0,4,5,80,1,3,1,2,3,7,10,0,141,22,86,49,7,4,141,2,2,100,0,0,91,406,215,2,3,0,1,2,90,0,1,0,0,4,1,0,0,0,0,15,4,4,50
Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28,1995,25,6,723,5,0.5,4,21,10,47.6,0.14,0.3,14.3,0,1,1,4.2,3.5,0.16,-0.2,-0.5,170,227,74.9,1972,280,122,153,79.7,34,43,79.1,3,11,27.3,1,1.1,0.6,-0.1,8,9,6,1,13,215,12,1,2,1,5,0,0,0,0,0,0,7,16,11,0,3,1,1,0,2,1,0,0,0,1,0,9,8,3,4,2,1,12,8.3,11,5,0,5,2,11,7,0,333,7,33,161,146,46,332,34,14,41.2,19,55.9,215,983,388,10,4,4,24,15,255,74,4,0,0,12,19,18,1,0,0,26,9,14,39.1
Marc Casado,es ESP,MF,Barcelona,es La Liga,19,2003,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,100,97,33,4,4,100,1,1,100,1,1,100,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,1,2,2,0,11,2,4,6,1,0,11,0,0,0,0,0,5,29,14,1,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0
Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,25,1998,21,20,1782,2,0,0,8,4,50,0,0,14.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1,1036,1196,86.6,15110,4408,595,645,92.2,383,430,89.1,32,65,49.2,2,1.1,1.2,0.9,19,51,7,4,50,1043,153,30,1,2,16,123,0,0,0,0,0,26,35,28,1,1,1,4,0,3,2,0,0,0,1,0,62,38,36,21,5,34,64,53.1,30,36,13,23,22,84,48,0,1426,91,575,590,270,27,1426,13,4,30.8,7,53.8,657,2861,1579,31,15,3,15,6,873,73,10,0,0,23,35,1,1,1,1,96,22,17,56.4
Marc Guiu,es ESP,"FW,MF",Barcelona,es La Liga,17,2006,3,1,74,1,1.22,1,4,1,25,0.25,1,12.1,0,0,0,0.8,0.8,0.19,0.2,0.2,8,8,100,83,7,3,3,100,3,3,100,0,0,0,0,0.3,0.1,-0.3,1,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,10,10,4,20,0,0,0,0,0,13,47,13,1,1,1,3,2,16,8,1,0,0,1,2,1,0,0,0,1,1,3,25
Marc Guéhi,eng ENG,DF,Crystal Palace,eng Premier League,23,2000,25,23,2021,1,0,0,5,0,0,0,0,9.7,0,0,0,0.6,0.6,0.13,-0.6,-0.6,1138,1309,86.9,22770,7962,363,403,90.1,636,673,94.5,130,212,61.3,1,0.6,1,0.4,7,90,5,0,67,1251,56,51,1,18,3,5,0,0,0,0,2,5,22,17,0,0,2,2,1,2,2,0,0,0,0,0,28,19,21,7,0,14,24,58.3,10,22,17,5,18,46,89,1,1501,196,761,678,67,12,1501,13,7,53.8,4,30.8,898,4190,2201,15,9,1,9,2,1011,7,2,0,0,14,26,0,0,0,0,120,29,29,50
