Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,Shots on Target,Shots on Target%,Goals per Shot,Goals per Shot on Target,Avg Shot Distance,FK Shots,Penalties,Penalites Attempted,xG,npxG,npxG per Shot,G-xG,npG-xG,Passes Completed,Passes Attempted,Passes Completed%,Total Pass Dist,Prog Pass Dist,Short Pass Cmp,Short Pass Att,Shor tPass Cmp %,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,Assists,xAG,xA,A-xAG,Key Passes,Final 1/3 Cmp,Passes into Penalty Area,Crosses into Penalty Area,Prog Passes,Live Pass,Dead Pass,FK Passes,Thru Balls,Switches,Crosses,Throw In,Corners,In Swing CK,Out Swing CK,Straight CK,Passes Offside,Passes Blocked,SCA,SCA Pass Live,SCA Pass Dead,SCA Dribble,SCA Sh,SCA Fouls Drawn,SCA Def,GCA,GCA Pass Live,GCA Pass Dead,GCA Dribble,GCA Shot,GCA Fouls Drawn,GCA Def,Tackle,Tackles Won,Def 3rd Tkl,Mid 3rd Tkl,Att 3rd Tkl,Drb Tkl,Drb Past Att,Drb Tkl%,Drb Past,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Touches,Def Pen Touch,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Att Pen Touch,Live Touch,Att Drb,Succ Drb,Drb Succ%,Times Tackled,Times Tackled%,Carries,Total Carry Distance,Prog Carry Distance,Prog Carries,Carries To Fina lThird,Carries To Pen Area,Carry Mistakes,Disposesed,Received Pass,Prog Passes Rec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,10,7,579,0,0,0,5,3,60,0,0,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,217,273,79.5,3776,1390,83,99,83.8,114,132,86.4,15,33,45.5,0,0,0,0,1,11,0,0,17,267,6,4,0,1,1,2,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,2,0,4,5,80,1,4,2,2,9,20,19,2,344,22,176,157,15,7,344,2,1,50,1,50,190,918,402,2,3,0,8,1,188,2,2,0,0,10,6,0,0,0,0,39,19,10,65.5
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,28,1994,35,35,3118,18,0.29,10,90,35,38.9,0.07,0.17,22.8,11,4,5,10,6.1,0.07,0,-0.1,1590,2179,73,28404,10273,766,876,87.4,532,698,76.2,229,432,53,8,11.8,10.2,-3.8,114,187,89,10,297,1872,284,64,30,22,223,22,151,46,55,8,23,62,210,143,48,7,9,1,2,19,12,3,2,2,0,0,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50,2,2585,96,414,1069,1126,105,2580,44,19,43.2,21,47.7,1367,6155,3408,86,61,23,48,35,1715,182,9,0,0,41,28,13,0,0,0,200,21,25,45.7
Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,25,1997,37,37,3263,15,0.19,7,48,16,33.3,0.15,0.44,17.8,0,0,0,4.8,4.8,0.1,2.2,2.2,1941,2313,83.9,33351,9336,915,1011,90.5,789,902,87.5,181,285,63.5,8,6.4,6.3,1.6,62,184,70,5,283,2186,115,100,26,27,32,5,3,1,1,0,12,31,143,110,8,10,3,6,6,19,12,0,4,2,1,0,88,53,45,32,11,40,77,51.9,37,52,14,38,35,123,20,0,2734,90,573,1482,722,75,2734,132,72,54.5,41,31.1,1842,10297,4241,65,73,19,61,70,2107,73,9,0,0,50,108,0,0,0,0,237,18,23,43.9
Bruno Langa,mz MOZ,DF,Almería,es La Liga,25,1997,11,9,820,1,0.11,1,8,2,25,0.13,0.5,24.6,0,0,0,0.2,0.2,0.02,0.8,0.8,307,400,76.8,5062,2470,153,176,86.9,123,153,80.4,24,51,47.1,0,0.4,0.3,-0.4,7,18,8,3,25,320,80,13,0,3,16,67,0,0,0,0,0,13,17,11,2,1,1,1,1,1,0,0,0,0,0,1,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,504,45,210,209,88,6,504,21,13,61.9,5,23.8,243,1250,720,14,10,2,5,3,265,30,1,1,0,4,12,0,0,0,0,37,2,6,25
Bruno Méndez,uy URU,DF,Granada,es La Liga,23,1999,17,15,1333,2,0.14,2,8,4,50,0.25,0.5,15.8,0,0,0,0.6,0.6,0.08,1.4,1.4,452,636,71.1,8562,3375,164,195,84.1,220,283,77.7,55,120,45.8,0,0.1,0.2,-0.1,4,45,5,2,47,536,94,13,1,3,8,79,0,0,0,0,6,10,13,12,0,0,1,0,0,0,0,0,0,0,0,0,36,17,19,12,5,21,37,56.8,16,24,6,18,26,62,45,0,797,67,341,376,88,13,797,7,6,85.7,1,14.3,351,1434,767,8,4,0,9,4,394,14,4,0,0,14,0,0,0,0,0,65,20,17,54.1
Bryan Cristante,it ITA,"MF,DF",Roma,it Serie A,28,1995,37,37,3289,7,0.08,3,54,8,14.8,0.06,0.38,17.2,0,0,0,4,4,0.07,-1,-1,1785,2178,82,31740,9730,777,895,86.8,818,924,88.5,154,242,63.6,4,2.9,3.1,1.1,30,229,37,6,234,2140,30,28,5,21,29,2,0,0,0,0,8,43,82,69,0,0,9,4,0,16,9,0,0,6,1,0,72,41,33,28,11,28,50,56,22,36,6,30,25,97,55,2,2494,88,577,1504,425,80,2494,26,17,65.4,8,30.8,1438,7211,3544,47,52,4,27,21,1860,80,8,0,0,77,16,4,0,1,0,203,82,60,57.7
Bryan Gil,es ESP,"FW,MF",Tottenham,eng Premier League,22,2001,11,2,209,0,0,0,4,1,25,0,0,13.9,0,0,0,0.8,0.8,0.19,-0.8,-0.8,127,157,80.9,1809,344,69,81,85.2,54,62,87.1,1,2,50,0,0.2,0.3,-0.2,4,6,8,1,16,155,2,0,0,0,11,2,0,0,0,0,0,7,9,8,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,4,25,3,3,0,3,3,4,4,0,191,3,25,66,101,18,191,11,8,72.7,3,27.3,137,746,340,11,6,5,9,7,155,49,0,0,0,2,3,1,0,0,0,16,0,3,0
Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,23,1999,25,22,1960,15,0.41,9,50,16,32,0.12,0.38,17.1,4,3,3,9.8,7.4,0.15,-0.8,-1.4,511,765,66.8,7853,2424,299,373,80.2,144,220,65.5,48,91,52.7,6,4.6,5.6,1.4,32,32,36,4,88,668,89,26,15,4,92,15,47,21,10,3,8,29,82,45,23,2,5,7,0,10,9,1,0,0,0,0,15,10,6,6,3,5,19,26.3,14,26,2,24,7,22,13,0,1045,26,108,350,599,111,1042,78,26,33.3,42,53.8,667,4326,2115,74,52,38,67,39,727,195,2,0,0,22,42,3,0,0,0,93,23,44,34.3
Bryan Zaragoza,es ESP,"FW,MF",Bayern Munich,de Bundesliga,22,2001,7,1,183,0,0,0,7,4,57.1,0,0,15.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,60,82,73.2,995,250,35,41,85.4,19,25,76,6,12,50,0,0.2,0.4,-0.2,4,3,6,2,9,78,4,0,0,2,10,1,2,0,1,0,0,6,7,5,0,2,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,3,3,100,0,0,0,0,2,6,0,0,117,0,8,46,65,15,117,16,8,50,8,50,78,676,469,14,11,6,3,4,96,28,1,0,0,2,1,1,0,0,0,4,1,0,100
Bryan Zaragoza,es ESP,"MF,FW",Granada,es La Liga,22,2001,21,18,1638,8,0.33,6,33,18,54.5,0.15,0.28,17.7,1,1,1,3.8,3,0.09,2.2,2,248,444,55.9,3909,1446,138,176,78.4,75,142,52.8,22,73,30.1,2,3.3,4.2,-1.3,22,12,29,16,36,409,31,15,4,1,98,5,10,1,0,0,4,27,69,33,8,16,4,7,1,5,2,1,1,0,1,0,18,9,8,6,4,8,23,34.8,15,9,0,9,3,21,3,0,680,1,67,242,386,74,679,129,53,41.1,65,50.4,482,4318,2393,100,61,37,53,11,501,127,5,0,0,12,33,14,1,0,0,56,4,9,30.8
Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,21,2001,35,35,2919,25,0.49,16,102,31,30.4,0.1,0.32,16.3,0,6,6,15.5,10.8,0.11,0.5,-0.8,1143,1512,75.6,16891,4402,705,793,88.9,331,427,77.5,80,183,43.7,9,10.5,11,-1.5,91,39,73,12,126,1365,138,7,4,3,181,12,119,99,0,0,9,50,188,137,26,10,9,4,2,21,16,2,1,1,1,0,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1,1952,37,182,474,1310,271,1946,122,49,40.2,54,44.3,1223,7180,3728,155,68,72,56,53,1393,508,4,0,0,41,69,8,1,0,0,155,23,36,39
Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,20,2002,14,4,504,1,0,0,7,4,57.1,0,0,18.7,1,0,0,0.7,0.7,0.1,-0.7,-0.7,99,148,66.9,1513,448,58,73,79.5,30,42,71.4,6,17,35.3,1,0.9,1.3,0.1,8,9,4,2,15,129,18,3,4,0,20,2,6,2,3,0,1,11,15,13,1,0,1,0,0,1,1,0,0,0,0,0,8,4,2,5,1,3,7,42.9,4,3,0,3,1,9,1,0,212,4,19,91,110,23,212,25,13,52,11,44,152,1195,585,23,15,7,19,9,140,45,1,1,0,10,7,1,0,0,0,28,1,11,8.3
Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20,2002,8,3,387,0,0,0,1,1,100,0,0,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,55,71,77.5,775,185,34,38,89.5,19,23,82.6,1,1,100,0,0.5,0.5,-0.5,4,2,7,1,9,65,5,0,2,0,3,0,0,0,0,0,1,4,6,6,0,0,0,0,0,1,1,0,0,0,0,0,4,2,1,2,1,0,4,0,4,4,1,3,1,5,1,0,112,2,19,49,48,9,112,22,5,22.7,15,68.2,72,462,174,7,5,3,10,7,69,14,0,0,0,10,4,1,0,0,0,22,2,18,10
Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,26,1997,9,7,623,5,0,0,6,1,16.7,0,0,26.9,1,0,0,0.2,0.2,0.04,-0.2,-0.2,376,464,81,6295,2068,175,196,89.3,168,197,85.3,28,53,52.8,5,1.3,2.3,3.7,13,26,15,2,33,369,94,15,2,0,36,56,23,4,13,0,1,13,25,14,8,2,0,0,1,5,2,3,0,0,0,0,13,7,3,7,3,6,9,66.7,3,8,2,6,6,19,9,0,528,13,105,231,200,19,528,9,5,55.6,4,44.4,354,1956,828,16,15,7,11,3,329,54,0,0,0,2,2,1,0,0,0,37,2,5,28.6
Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,29,1994,29,10,1131,5,0.32,4,27,12,44.4,0.15,0.33,14.7,0,0,0,2.9,2.9,0.11,1.1,1.1,138,211,65.4,1854,476,84,106,79.2,34,57,59.6,10,16,62.5,1,1.4,0.7,-0.4,16,8,6,0,15,205,6,0,1,1,4,0,0,0,0,0,0,10,35,17,0,5,4,9,0,3,1,0,1,0,1,0,8,4,2,4,2,5,9,55.6,4,11,3,8,1,9,7,0,385,10,32,150,208,52,385,22,10,45.5,11,50,246,1057,373,14,8,9,55,17,297,93,0,0,0,17,27,3,1,0,0,36,33,34,49.3
Caleb Okoli,it ITA,DF,Frosinone,it Serie A,22,2001,34,32,2914,1,0,0,13,3,23.1,0,0,11.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,1407,1720,81.8,25428,10828,569,640,88.9,708,794,89.2,113,234,48.3,1,0.8,0.3,0.2,5,86,3,0,118,1588,129,66,0,6,2,27,0,0,0,0,3,16,21,17,0,1,2,0,1,2,1,0,0,1,0,0,56,34,33,22,1,29,44,65.9,15,48,32,16,29,85,156,4,2074,252,1086,932,68,22,2074,5,2,40,3,60,1089,6303,3646,22,9,2,20,4,1203,4,9,0,0,27,26,0,0,2,0,164,74,59,55.6
